gpu_name,manufacturer,benchmark_score
XPRESS 200,AMD,30
Matrox M9128 LP PCIe x16,Unknown,29
9550 / X1050,AMD,29
6100,NVIDIA,27
MOBILITY FireGL V5250,Unknown,27
MOBILITY RADEON 9700,AMD,27
MOBILITY RADEON XPRESS 200,AMD,27
9600 PRO Family,AMD,27
9600SE,AMD,27
Xpress 1270,AMD,27
7100 / nForce 620i,NVIDIA,26
Matrox M9120 Plus LP PCIe x16,Unknown,26
Matrox M9125 PCIe x16,Unknown,26
PHDGD Sapphire GR for Mobile Intel 965,Intel,26
6100 nForce 400,NVIDIA,25
6100 nForce 405,NVIDIA,25
6100 nForce 420,NVIDIA,25
6150SE,NVIDIA,25
FX 5700LE,NVIDIA,25
G965 Express,Intel,25
MOBILITY RADEON 9600 PRO TURBO,AMD,25
9600 Family,AMD,25
7050 / nForce 610i,NVIDIA,24
Mobile Intel 965 Express Chipsatzfamilie,Intel,24
Quadro NVS 210S,NVIDIA,24
9800 SE,AMD,24
ALL IN WONDER 9800,Unknown,23
6100 nForce 430,NVIDIA,23
7200 GS,NVIDIA,23
Matrox M9140 LP PCIe x16,Unknown,23
A9800XT,AMD,23
XPRESS 200M,AMD,23
9xx Soldiers sans frontiers Sigma 2,Unknown,22
6150,NVIDIA,22
Quadro NVS 210S / GeForce 6150LE,NVIDIA,21
Matrox M9120 PCIe x16,Unknown,20
PHDGD Solo 2 x64,Unknown,20
Go 6150,NVIDIA,19
QXL KMDOD,Unknown,19
7150M / nForce 630M,NVIDIA,18
FX Go 5600,NVIDIA,18
Go 6100,NVIDIA,18
Mobile Intel965 Express,Intel,18
9600 TX Family,AMD,18
XPRESS 200 CROSSFIRE,AMD,18
S3 Chrome S25 DDR2,Unknown,18
FX Go5650,NVIDIA,17
NV44,Unknown,15
82945G Express,Intel,14
Quadro FX 500/600 PCI,NVIDIA,14
HD 2400 PCI,AMD,14
7000M,NVIDIA,13
7000M / nForce 610M,NVIDIA,13
FX 5600,NVIDIA,13
FX Go5300,NVIDIA,13
FX 5200 Ultra,NVIDIA,12
FX 5200SE,NVIDIA,12
FireMV 2400 PCIe,Unknown,11
PHDGD Solo 1.2.0 x86,Unknown,11
RGH Drivers v3,Unknown,11
Familia Intel Q33 Express Chipset,Intel,10
Master X3100 Driver,Unknown,10
MOBILITY IGP 9000/9100,Unknown,10
ASUS A7000,Unknown,9
GeCube RADEON 7000,AMD,9
FX 5600XT,NVIDIA,9
Matrox Parhelia 256MB,Unknown,9
VIA Chrome9 HD IGP,Unknown,9
ASUS V9520 X V62.11,Unknown,8
FX 5100,NVIDIA,8
FX Go 5200,NVIDIA,8
82945G Express Chipsatzfamilie,Intel,8
Q35 Embedded,Intel,8
Mobile Intel 965 Express BR 0907 0461 v1839,Intel,8
MOBILITY RADEON 9000 IGP,AMD,8
Quadro FX 500/FX 600,NVIDIA,8
Quadro NVS 280 PCI,NVIDIA,8
Famille de jeu de puces Express Intel 946GZ,Intel,7
FX 5200LE,NVIDIA,7
GeForce4 MX Integrated GPU,NVIDIA,7
Media Accelerator 600,Intel,7
US15 Embedded Media and Controller,Intel,7
Matrox Millennium P690 Plus LP PCIe x16,Unknown,7
8500 Family,AMD,7
64MB DDR GeForce3 Ti 200,NVIDIA,6
ALL IN WONDER RADEON 8500DV,AMD,6
PCX 5300,NVIDIA,6
GeForce4 440 Go 64M,NVIDIA,6
GeForce4 448 Go,NVIDIA,6
82915G Express,Intel,6
Matrox Parhelia APVe,Unknown,6
Mobile Intel 945GM Express,Intel,6
MOBILITY RADEON 7000 IGP,AMD,6
MOBILITY RADEON 9000/9100 IGP,AMD,6
Quadro 280 NVS PCIe,NVIDIA,6
Quadro NVS 55/280 PCI,NVIDIA,6
9100 Family,AMD,6
IGP 350M,AMD,6
V9560XT V62.11,Unknown,6
VIA/S3G UniChromeII,Unknown,6
ALL IN WONDER 9000,Unknown,5
ASUS AGP V3800PRO v31.40H,Unknown,5
GeForce2 MX with DVI D and TV out,NVIDIA,5
GeForce3,NVIDIA,5
GeForce4 420 Go 32M,NVIDIA,5
GeForce4 440,NVIDIA,5
GeForce4 MX 4000,NVIDIA,5
GeForce4 MX 440,NVIDIA,5
GeForce4 MX 440 with AGP8X,NVIDIA,5
GeForce4 MX 440SE,NVIDIA,5
82865G Controller,Intel,5
915G/915GV/910GL Embedded Controller Functio,Intel,5
945G Embedded Chipset Function 0,Intel,5
Q33 Express,Intel,5
Matrox Millennium P650 PCIe 128,Unknown,5
Mobile Intel 945GM/GU Express,Intel,5
MOBILITY FIREGL 7800,Unknown,5
Quadro2 MXR/EX,NVIDIA,5
7500 Family,AMD,5
9000,AMD,5
9100 IGP,AMD,5
SAPPHIRE RADEON 9000 ATLANTIS PRO,AMD,5
VIA/S3G UniChrome Pro IGP,Unknown,5
WinFast A250 LE,Unknown,5
Xabre,Unknown,5
XGI Volari Family v1.13.23.D V,Unknown,5
ABIT Siluro T400,Unknown,4
Dell 8200,Unknown,4
6200A,NVIDIA,4
GeForce2 Go,NVIDIA,4
GeForce2 GTS/GeForce2 Pro,NVIDIA,4
GeForce2 Integrated GPU,NVIDIA,4
GeForce2 MX/MX 400,NVIDIA,4
GeForce3 Ti 200,NVIDIA,4
GeForce4 4200 Go,NVIDIA,4
GeForce4 440 Go,NVIDIA,4
82915G/915GV/910GL,Intel,4
865 Embedded Controller,Intel,4
"915G,910G Express",Intel,4
MOBILITY RADEON 7500,AMD,4
MOBILITY/RADEON 9000,AMD,4
7000 / RADEON VE Family,AMD,4
9000 Family,AMD,4
IGP 320,AMD,4
IGP 320M,AMD,4
RIVA TNT2 Model 64/Model 64 Pro,Unknown,4
VIA Chrome9 HC IGP,Unknown,4
VIA Chrome9 HC IGP Family,Unknown,4
VIA Chrome9 HC IGP Family WDDM,Unknown,4
VIA/S3G KM400/KN400,Unknown,4
VIA/S3G UniChrome IGP,Unknown,4
64MB GeForce2 MX with TV Out,NVIDIA,3
AMIGAMERLIN 3.1 R1 For Voodoo 4 4500 PCI,Unknown,3
GeForce2 MX,NVIDIA,3
GeForce2 MX 100/200,NVIDIA,3
GeForce3 Ti 500,NVIDIA,3
GeForce4 420 Go,NVIDIA,3
82845G/GL Controller,Intel,3
82845G/GL/GE/PE/GV Controller,Intel,3
82915G/GV/910GL Advanced v3.5,Intel,3
82915G/GV/910GL Express,Intel,3
946GZ Embedded Chipset Function 0,Intel,3
946GZ Express,Intel,3
GMA 3150 Express,Intel,3
Media Accelerator 3150,Intel,3
Media Accelerator 500,Intel,3
Matrox Parhelia 128MB,Unknown,3
MOBILITY RADEON 9000,AMD,3
MOBILITY RADEON 9100 IGP,AMD,3
MOBILITY RADEON 9200,AMD,3
7000 / Radeon VE,AMD,3
7200,AMD,3
7500,AMD,3
9200 LE Family,AMD,3
9200 PRO Family,AMD,3
9200 SE,AMD,3
IGP 340M,AMD,3
IGP 345M,AMD,3
Rage Fury Pro/Xpert 2000 Pro,Unknown,3
RIVA TNT2/TNT2 Pro,Unknown,3
S3 Inc. Savage4,Unknown,3
Vanta/Vanta LT,Unknown,3
VIA Chrome9 HC IGP WDDM,Unknown,3
VIA Chrome9 HC IGP WDDM 1.1,Unknown,3
VIA Chrome9 HC3 IGP,Unknown,3
VIA/S3G DeltaChrome IGP,Unknown,3
Dell 8100,Unknown,2
82845G Controller,Intel,2
Extreme Controller,Intel,2
Mobile Intel 915GM/GMS/910GML Express,Intel,2
Mobile Intel 945 Express,Intel,2
Quadro NVS 280 SD,NVIDIA,2
IGP 34xM,AMD,2
S3 SuperSavage/IXC 1014,Unknown,2
VIA Chrome9 HC IGP Prerelease WDDM 1.1,Unknown,2
VIA Chrome9 HCM IGP,Unknown,2
VisionTek Radeon 7000,AMD,2
FireMV 2200 PCI,Unknown,1
82852/82855 GM/GME Controller,Intel,1
Quadro2 Pro,NVIDIA,1
RAGE 128 PRO AGP 4X TMDS,Unknown,1
S3 ProSavageDDR,Unknown,1
