gpu_name,manufacturer,benchmark_score,non_gaming_reason
Qualcomm Adreno 8cx Gen 3,Qualcomm,1670,Mobile SoC
Quadro K3000M,NVIDIA,1626,Professional/Quadro
Quadro K2000D,NVIDIA,1614,Professional/Quadro
Quadro P400,NVIDIA,1614,Professional/Quadro
FirePro M4000,AMD,1597,Professional/Quadro
FirePro M4000 Mobility Pro,AMD,1591,Professional/Quadro
Quadro K2000,NVIDIA,1567,Professional/Quadro
Firepro W5170M,AMD,1555,Professional/Quadro
FirePro W4100,AMD,1541,Professional/Quadro
FirePro V8700,AMD,1539,Professional/Quadro
FirePro W6150M,AMD,1515,Professional/Quadro
Quadro P500,NVIDIA,1508,Professional/Quadro
Quadro 4000,NVIDIA,1489,Professional/Quadro
FirePro M40003,AMD,1364,Professional/Quadro
Quadro K2100M,NVIDIA,1348,Professional/Quadro
FirePro W5130M,AMD,1341,Professional/Quadro
FireStream 9270,Unknown,1341,Professional/Quadro
FirePro M5950,AMD,1314,Professional/Quadro
Quadro 4000M,NVIDIA,1307,Professional/Quadro
Tesla M2070 Q,NVIDIA,1306,Datacenter/Tesla
FirePro 3D V8750,AMD,1272,Professional/Quadro
FirePro V5900,AMD,1271,Professional/Quadro
Quadro FX 5800,NVIDIA,1248,Professional/Quadro
Quadro 2000 D,NVIDIA,1239,Professional/Quadro
FirePro 3D V5800,AMD,1232,Professional/Quadro
FirePro 3D V8700,AMD,1206,Professional/Quadro
FirePro V5800,AMD,1186,Professional/Quadro
FireStream 9250,Unknown,1165,Professional/Quadro
Barco MXRT 5400,Unknown,1161,Embedded/ISV
Quadro K620M,NVIDIA,1157,Professional/Quadro
NVS 810,Unknown,1141,Embedded/ISV
Quadro 2100M,NVIDIA,1100,Professional/Quadro
Quadro M500M,NVIDIA,1098,Professional/Quadro
Firepro W4190M,AMD,1086,Professional/Quadro
Quadro K1100M,NVIDIA,1082,Professional/Quadro
Barco MXRT 5450,Unknown,1079,Embedded/ISV
FirePro M4170,AMD,1067,Professional/Quadro
Firepro M4100,AMD,1059,Professional/Quadro
Quadro K2000M,NVIDIA,1027,Professional/Quadro
Quadro 3000M,NVIDIA,1024,Professional/Quadro
FirePro M4150,AMD,999,Professional/Quadro
Quadro 2000D,NVIDIA,989,Professional/Quadro
Quadro FX 4800,NVIDIA,979,Professional/Quadro
FirePro V4900,AMD,974,Professional/Quadro
FirePro W4170M,AMD,953,Professional/Quadro
Qualcomm Adreno 690 GPU,Qualcomm,952,Mobile SoC
Quadro CX,NVIDIA,947,Professional/Quadro
Quadro 2000,NVIDIA,942,Professional/Quadro
GRID K220Q,Unknown,912,GRID/Virtual
Barco MXRT 7400,Unknown,901,Embedded/ISV
Barco MXRT 2600,Unknown,900,Embedded/ISV
FirePro W2100,AMD,890,Professional/Quadro
FirePro 3D V4800,AMD,854,Professional/Quadro
FireGL V8600,Unknown,839,Embedded/ISV
GRID K1,Unknown,811,GRID/Virtual
