gpu_name,manufacturer,benchmark_score,graphics_api_score,vram_gb,release_year
R7 A10 7800,AMD,691,,,2014
R5 PRO A6 8530B 2C+4G,AMD,690,,,2017
R7E,AMD,690,2945.0,,2018
HD 7640G + 8600/8700M Dual,AMD,689,,,2013
GT 555M,NVIDIA,688,2629.0,1.5,2011
HD 8650G + R5 M230 Dual,AMD,686,,,2014
HD 6630M,AMD,685,,1.0,2011
HD 8550D,AMD,685,,,2014
GT 630,NVIDIA,683,2190.0,1.0,2012
HD 7640G N HD 7640G + HD 7670M Dual,AMD,680,,,2013
HD 8650G N HD 8650G + HD 8600M N HD 8600M D,AMD,680,,,2013
GTS 160M,NVIDIA,679,,1.0,2009
HD 7640G + HD 8670M Dual,AMD,677,,,2015
GT 530,NVIDIA,676,1947.0,1.0,2011
GTX 285M,NVIDIA,676,,1.0,2010
Quadro FX 4700 X2,NVIDIA,676,,,2014
HD 8610G + R5 M200 Dual,AMD,676,,,2016
R7 A360,AMD,676,5809.0,,2017
GT 640M LE,NVIDIA,673,2078.0,1.0,2012
HD 610,Intel,673,,,2017
R8 M535DX,AMD,670,4620.0,,2019
HD 7640G + HD 8500M N HD 8500M Dual,AMD,666,,,2013
FirePro M7740,AMD,665,,1.0,2009
Quadro 500M,NVIDIA,664,,,2013
HD 8550G + 8690M Dual,AMD,664,,,2013
FirePro V3900,AMD,662,1395.0,1.0,2012
HD 5600/5700,AMD,661,2586.0,,2011
FireGL V7700,Unknown,660,,0.5,2011
HD 2900 XT,AMD,660,,,2012
HD 8730M,AMD,659,6236.0,1.0,2015
R5 PRO A8 9600B 4C+6G,AMD,659,,,2017
GT 140,NVIDIA,658,,1.0,2009
GTS 360M,NVIDIA,655,,1.0,2010
HD 7640G + 8750M Dual,AMD,655,,,2013
HD 8550G + HD 8600/8700M Dual,AMD,655,,,2015
Professional HD Driver,Unknown,654,,,2018
HD 8650G + 8570M Dual,AMD,654,,,2013
HD 7520G + HD 8750M Dual,AMD,651,,,2015
SUMO 9640,Unknown,650,,,2011
R5 M430,AMD,649,4969.0,,2016
FireStream 9170,Unknown,647,,2.0,2015
HD 6670 + 6670 Dual,AMD,647,,,2013
HD 8610G + HD 8500M Dual,AMD,646,,,2014
R7 M340,AMD,646,5485.0,,2016
HD 7640G + 7670M Dual,AMD,645,,,2012
HD 7540D + HD 6450 Dual,AMD,643,,,2014
R7 PRO A12 8800B,AMD,642,,,2016
8800 Ultra,NVIDIA,639,,0.75,2009
R5 PRO A6 8570E 2C+4G,AMD,638,,,2017
GT 710,NVIDIA,637,1665.0,1.0,2014
HD 7640G + 7400M Dual,AMD,637,,,2013
HD 8450G + 8750M Dual,AMD,637,,,2013
9800 S,NVIDIA,636,,,2012
Matrox C420 LP PCIe x16,Unknown,635,,,2015
NVS 5400M,Unknown,635,2151.0,2.0,2012
HD 8650G + 8670M Dual,AMD,635,,,2013
HD 7660D + HD 7000 Dual,AMD,634,,,2014
HD 7730M,AMD,634,6787.0,2.0,2015
HD 8650G + HD 7670M Dual,AMD,634,,,2016
9800 GTX/9800 GTX+,NVIDIA,632,,,2009
HD 7610M,AMD,632,,1.0,2012
HD 7640G + HD 7700M N HD 7700M Dual,AMD,631,,,2015
HD 7660G + 7470M Dual,AMD,631,,,2012
HD 8510G + HD 8500M Dual,AMD,630,,,2015
GRID K160Q,Unknown,628,,,2016
Quadro FX 3800M,NVIDIA,628,,,2009
HD 2900 PRO,AMD,628,,,2011
GT 820M,NVIDIA,627,1508.0,,2016
HD 4600,Intel,627,,,2013
HD 7640G + 7500/7600 Dual,AMD,627,,,2013
HD 8650G + 8500M Dual,AMD,627,,,2013
R7 A8 PRO 7600B,AMD,627,,,2014
"R5 A10 9620P RADEON R5, 10 COMPUTE CORES 4C",AMD,626,,,2020
HD P4600/P4700,Intel,624,,,2013
HD 7520G + HD 8600/8700M Dual,AMD,624,,,2014
R5 A6 8500P,AMD,624,,,2018
HD 515,Intel,623,,,2015
810A,NVIDIA,622,1828.0,,2014
GTS 240,NVIDIA,622,,1.0,2009
GTX 280M,NVIDIA,621,,1.0,2009
HD 7640G + HD 7400M Dual,AMD,621,,,2014
HD 8570 + 8670D Dual,AMD,620,,,2013
HD 510,Intel,619,,,2015
HD 8550G + R5 M200 Dual,AMD,619,,,2015
R5 A10 9600P 4C+6G,AMD,619,,,2016
GTS 250,NVIDIA,618,,1.0,2012
HD 8550G + 8600M Dual,AMD,618,,,2013
HD 7500G + 7500M/7600M Dual,AMD,617,,,2013
FireGL V7600,Unknown,616,,0.5,2009
HD 7660G + HD 7600M Dual,AMD,616,,,2014
HD 7570,AMD,613,1344.0,1.0,2012
HD 8650G + 8600M Dual,AMD,613,,,2013
HD 8550G N HD 8550G + HD 8600M N HD 8600M D,AMD,612,,,2015
7900 MOD Radeon HD 6520G,AMD,610,,,2012
Quadro K510M,NVIDIA,610,,,2013
HD 8610G + 8500M Dual,AMD,610,,,2013
HD 7640G + HD 8500M Dual,AMD,607,,,2014
GT 720,NVIDIA,606,1898.0,1.0,2014
HD 8650G + HD 8600M Dual,AMD,606,,,2014
HD P4600,Intel,605,,,2013
"R5 A6 9400 RADEON R5, 6 COMPUTE CORES 2C+4G",AMD,605,,,2020
GT 430,NVIDIA,603,1974.0,1.0,2012
HD 8550G + 8500M Dual,AMD,603,,,2013
GT 720A,NVIDIA,601,,,2014
HD 8610G + 8670M Dual,AMD,600,,,2014
Quadro 1000M,NVIDIA,599,1598.0,2.0,2012
"R5 PRO A10 8730B R5, 10 COMPUTE CORES 4C+6G",AMD,598,,,2020
8800 GTX,NVIDIA,597,,,2012
HD 8510G + 8500M Dual,AMD,596,,,2014
R5 M330,AMD,596,5206.0,,2015
HD 7640G + 7470M Dual,AMD,595,,,2012
GT 735M,NVIDIA,594,3550.0,2.0,2013
HD 8550G + HD 8600M Dual,AMD,594,,,2014
8800 GTS 512,NVIDIA,591,,,2012
HD 7520G + 7600M Dual,AMD,591,,,2013
HD 7640G + HD 7700M Dual,AMD,589,,,2015
HD 8610G + 8600M Dual,AMD,589,,,2013
HD 7520G + 7610M Dual,AMD,588,,,2013
HD 7660G + 7400M Dual,AMD,588,,,2013
HD 7660G + 8670M Dual,AMD,588,,,2014
HD 7640G + HD 8600/8700M Dual,AMD,587,,,2015
HD 7640G + 8500M Dual,AMD,586,,,2014
HD 8650G + HD 8670M Dual,AMD,585,,,2015
HD 5500,Intel,582,1085.0,,2014
HD 7520G + 7500/7600 Dual,AMD,582,,,2013
GT 550M,NVIDIA,580,2137.0,1.0,2011
"R5 A10 9630P RADEON R5, 10 COMPUTE CORES 4C",AMD,580,,,2021
HD 8550G + 8670M Dual,AMD,579,,,2013
910M,NVIDIA,578,2629.0,,2015
HD 8450G + R5 M230 Dual,AMD,578,,,2017
HD 8610G + HD 8670M Dual,AMD,578,,2.0,2013
Skylake HD DT GT2,Intel,577,,,2015
HD 7620G + 8670M Dual,AMD,577,,,2013
HD 3870,AMD,576,,0.5,2012
R5 A240,AMD,576,,,2016
R7 M265,AMD,576,6743.0,2.0,2014
HD 7520G + HD 7700M Dual,AMD,575,,,2016
HD 7520G N HD 7520G + HD 7500/7600 7500/760,AMD,575,,,2013
HD 8450G + HD 8670M Dual,AMD,575,,,2017
R5 420,AMD,575,,,2017
i gfx driver ci master 9938 DCH I,Intel,573,,,2022
R6 M255DX,AMD,572,4867.0,,2019
"R6 PRO A8 8600B R6, 10 Compute Cores 4C+6G",AMD,572,,,2020
R6 + R7 M265DX Dual,AMD,571,,,2015
GTS 250M,NVIDIA,569,,1.0,2009
HD 7560D + 6450 Dual,AMD,569,,,2013
820A,NVIDIA,568,2708.0,,2015
HD 6610M,AMD,565,,,2012
HD 7650A,AMD,564,1261.0,1.0,2012
GT 635M,NVIDIA,563,1901.0,2.0,2012
HD 5000,Intel,563,,,2013
HD 7560D + R5 235 Dual,AMD,563,,,2015
Quadro FX 5600,NVIDIA,562,,1.5,2009
R7 A10 PRO 7800B,AMD,562,,,2014
HD 7640G + R5 M200 Dual,AMD,559,,,2015
HD 8550G + HD 8500M Dual,AMD,559,,,2014
HD 7640G + 8570M Dual,AMD,558,,,2013
HD 7640G + 8670M Dual,AMD,558,,,2014
HD 7600G + HD 7500M/7600M Dual,AMD,555,,,2015
GF117,Unknown,554,,,2015
615,NVIDIA,552,1162.0,,2013
R7 M360,AMD,552,5578.0,,2015
R7 7850A10 7850K,AMD,551,,,2019
FireGL V8650,Unknown,550,,,2010
GT 630M,NVIDIA,549,1860.0,1.0,2012
R5 M335,AMD,549,5137.0,,2015
Mobility Radeon HD 3870,AMD,548,,0.5,2009
HD 8670D,AMD,548,2159.0,,2013
FirePro 3D V5700,AMD,547,,,2009
Quadro 600,NVIDIA,546,1849.0,1.0,2012
HD 8550G + HD 8670M Dual,AMD,546,,,2016
FirePro 3D V7750,AMD,545,,,2009
HD 7520G + HD 7400M Dual,AMD,545,,,2015
HD 8450G + 8600M Dual,AMD,545,,,2013
Mobility Radeon HD 5570,AMD,544,1070.0,,2011
HD 7600G + HD 8670M Dual,AMD,544,,,2015
GT 240,NVIDIA,543,,1.0,2012
Quadro FX 2700,NVIDIA,543,,,2014
HD 7520G + 7470M Dual,AMD,543,,,2013
R6 A10 8700P,AMD,541,,,2016
9800 GTX+,NVIDIA,538,,0.5,2012
KV SPECTRE LITE MOBILE 25W,Unknown,538,,,2015
R6 PRO A10 8700B 4C+6G,AMD,538,,,2016
GRID K180Q,Unknown,534,,,2015
NVS 5200M,Unknown,534,1556.0,1.0,2012
HD 7560D + HD 7000 Dual,AMD,534,,,2014
HD 8550G + 8570M Dual,AMD,533,,,2013
HD6530D,AMD,532,,,2012
R6 PRO A8 8600B 4C+6G,AMD,532,,,2016
HD 8550G + HD 8570M Dual,AMD,529,,,2016
HD 7640G + 6400M Dual,AMD,527,,,2012
HD 7600G N HD 7600G + HD ON HD Dual,AMD,526,,,2016
HD 8650D,AMD,526,,,2014
"R6 PRO A10 8700B R6, 10 Compute Cores 4C+6G",AMD,526,,,2020
HD 7660D + R5 235 Dual,AMD,524,,,2017
HD 7520G + 7670M Dual,AMD,523,,,2012
GT 435M,NVIDIA,521,1634.0,1.0,2012
HD 4400,Intel,521,,,2013
MCT USB3.0 External Device,Unknown,520,,,2020
HD 8670M,AMD,520,5532.0,1.0,2014
R5 240,AMD,520,4964.0,,2014
8800 GT,NVIDIA,519,,0.5,2009
HD 7640G + HD 7670M Dual,AMD,519,,,2014
GT 425M,NVIDIA,517,1581.0,1.0,2010
IncrediblE HD 4000,Unknown,517,,,2017
HD P4000,Intel,516,,,2012
A10 8700P,Unknown,514,,,2019
6600M,AMD,513,,,2012
R5 330,AMD,513,,,2017
Mobility Radeon HD 4830,AMD,512,,,2012
820M,NVIDIA,511,2347.0,,2014
HD 7640G + 7610M Dual,AMD,510,,,2013
HD 7600G + HD 7550M Dual,AMD,509,,,2014
HD 7620G + 8600M Dual,AMD,509,,,2013
R5 PRO A6 8500B 2C+4G,AMD,508,,,2017
HD 7620G + HD 8670M Dual,AMD,507,,,2014
9600 GT,NVIDIA,505,,,2011
GTS 150M,NVIDIA,504,,1.0,2014
HD 7660D,AMD,504,2017.0,,2012
HD 8450G + HD 8750M Dual,AMD,504,,,2016
R7 M265DX,AMD,499,,,2020
SUMO 964A,Unknown,498,,,2011
TRINITY SCRAPPER MOBILE,Unknown,498,,,2016
HD 7500G + 7550M Dual,AMD,497,,,2013
ASUS EAH4870x2,Unknown,496,,,2009
HD 6570,AMD,496,1404.0,1.0,2012
R5 M255,AMD,496,5270.0,4.0,2014
HD 7520G + HD 7670M Dual,AMD,495,,,2016
GT 540M,NVIDIA,493,1797.0,1.0,2012
GT625M,NVIDIA,493,1994.0,,2014
Vega 2,AMD,491,3208.0,,2020
HD8530M,AMD,490,,,2016
HD 8670D N HD 8670D + HD 8670D Dual,AMD,489,,,2013
HD 8550G + R5 M230 Dual,AMD,488,,,2014
Mobility Radeon HD 5730,AMD,487,,1.0,2010
HD 7520G + 7400M Dual,AMD,487,,,2015
R4E,AMD,487,,,2017
HD 7670M,AMD,485,1247.0,1.0,2012
9800 GT,NVIDIA,481,,0.5,2012
HD 8610G + HD 8600M Dual,AMD,481,,,2014
Quadro K500M,NVIDIA,480,,1.0,2020
Mobility Radeon HD 5000 Serisi,AMD,479,,,2013
HD 8650G,AMD,479,1735.0,,2013
Mobility Radeon HD 3870 X2,AMD,478,,,2009
HD 7660G,AMD,476,1714.0,,2012
R5 M315,AMD,476,3930.0,,2016
HD 7640G + HD 8570M Dual,AMD,475,,,2014
HD 8450G + 8670M Dual,AMD,475,,,2013
R6 A8 8600P,AMD,475,,,2017
HD 5570,AMD,473,1275.0,,2012
"R5 PRO A6 9500B R5, 6 COMPUTE CORES 2C+4G",AMD,473,,,2020
FirePro 3D V3800,AMD,472,,,2010
HD 7560D,AMD,472,1450.0,,2012
HD 8570D + R5 235 Dual,AMD,471,,,2015
HD 7600G + 8500M/8700M Dual,AMD,470,,,2013
R5 M420,AMD,470,4143.0,,2017
Quadro FX 1800M,NVIDIA,469,,1.0,2010
800M,NVIDIA,468,1303.0,,2014
GT 720M,NVIDIA,467,2056.0,1.0,2013
Quadro FX 3600M,NVIDIA,467,,1.0,2009
Quadro FX 3700M,NVIDIA,467,,1.0,2009
HD 7660D + 7470 Dual,AMD,466,,,2012
HD 8690A,AMD,466,,,2015
SUMO 9644,Unknown,466,,,2011
FirePro V5700,AMD,465,,0.5,2015
HD 7550M,AMD,465,,2.0,2012
Mobility Radeon HD 4670,AMD,463,,,2009
8800M GTX,NVIDIA,462,,0.5,2009
9800M GTX,NVIDIA,462,,1.0,2009
9800M GS,NVIDIA,460,,0.5,2012
GT 525M,NVIDIA,460,1562.0,1.0,2012
HD 7660G + HD 7600M N HD 7600M Dual,AMD,460,,,2014
705M,NVIDIA,456,,,2014
HD 7520G + 7650M Dual,AMD,453,,,2013
HIS DIGITAL HD 4650 AGP,Unknown,452,,,2014
HD 7620G N HD 7620G + HD 8600M N HD 8600M D,AMD,452,,,2013
HD 8450G + HD 8600M Dual,AMD,452,,,2015
R7 M260,AMD,452,5738.0,2.0,2014
710A,NVIDIA,451,2638.0,,2014
HD Family,Intel,451,,,2012
Mobility Radeon HD 5650,AMD,451,,1.0,2012
HD 7650M,AMD,451,1043.0,1.0,2012
710M,NVIDIA,450,1976.0,1.0,2013
Qualcomm Adreno 680 GPU,Qualcomm,449,,,2021
HD 7640G,AMD,448,1255.0,,2012
HD 7520G + HD 7600M Dual,AMD,447,,,2014
HD 7660G + 8600M Dual,AMD,446,,,2014
PHDGD Ivy 5,Unknown,445,,,2020
HD 7570M,AMD,445,1004.0,1.0,2012
GT 320,NVIDIA,444,,1.0,2010
GT 710M,NVIDIA,444,2103.0,,2014
HD 7620G + HD 8600M Dual,AMD,443,,,2014
HD 8350G,AMD,443,,,2013
8800 GTS,NVIDIA,440,,0.31,2012
Quadro FX 4600,NVIDIA,437,,0.75,2009
Quadro 410,NVIDIA,436,1125.0,0.5,2012
GT 625M,NVIDIA,435,2229.0,2.0,2013
HD 7600G + HD Dual,AMD,435,,,2014
HD 8410G,AMD,435,,,2014
HD 8570D,AMD,434,1521.0,,2013
Quadro FX 2800M,NVIDIA,433,,1.0,2010
HD 3850 AGP,AMD,432,,0.5,2012
R5 M240,AMD,432,3721.0,2.0,2015
GT 620M,NVIDIA,431,1605.0,1.0,2012
800A,NVIDIA,428,,,2015
9800M GT,NVIDIA,424,,0.5,2009
HD 7640G + HD 7500/7600 Dual,AMD,424,,,2015
HD 7600G + 7550M Dual,AMD,423,,,2014
HD 7640G N HD 7640G + HD 8570M Dual,AMD,423,,,2013
HD6410D,AMD,423,,,2012
GT 330,NVIDIA,422,,0.25,2010
HD 8570M,AMD,422,4646.0,1.0,2015
4th Generation Haswell HD,Intel,420,,,2017
GT 420M,NVIDIA,418,1334.0,0.5,2010
R5 M320,AMD,418,4972.0,,2015
HD 6550D,AMD,417,1189.0,,2011
HD 8610G,AMD,414,1490.0,,2013
GTX 260M,NVIDIA,412,,1.0,2012
GT 420,NVIDIA,411,1055.0,2.0,2010
HD 3850,AMD,410,,0.25,2011
GTS 350M,NVIDIA,408,,1.0,2010
HD 7470M,AMD,408,,0.5,2012
HD 7640G + HD 7600M N HD 7600M Dual,AMD,407,,,2013
FirePro M2000,AMD,406,,,2012
HD 7600G + 7500M/7600M Dual,AMD,406,,,2013
Quadro FX 1800,NVIDIA,405,,0.75,2009
E4690,AMD,405,,,2011
HD 8550G,AMD,403,1360.0,,2013
810M,NVIDIA,402,1644.0,,2014
Mobility Radeon HD 4650,AMD,401,,0.5,2009
GT 335M,NVIDIA,400,,1.0,2010
HD 8500M,AMD,397,4746.0,,2015
R5 Opteron X3216,AMD,394,,,2017
R5 M230,AMD,391,4658.0,4.0,2014
HD 7600G + 7450M Dual,AMD,390,,,2013
IncrediblE HD,Unknown,389,,,2016
HD 5300,Intel,389,,,2014
7900 GTX,NVIDIA,388,,0.5,2009
Quadro FX 3700,NVIDIA,384,,0.5,2010
HD 4670,AMD,384,,,2012
HD 5550,AMD,383,,,2010
8800M GTS,NVIDIA,382,,0.5,2012
9800M GTS,NVIDIA,379,,1.0,2009
HD 6490M,AMD,378,,0.5,2011
HD 7520G + 8750M Dual,AMD,377,,,2014
HD 7600G + 6400M Dual,AMD,377,,,2013
PHDGD Ivy 4,Unknown,374,,,2016
HD 8570D + HD8490 Dual,AMD,374,,,2016
UHD 605,Intel,370,,,2018
GT 610M / GT 620M / GT 710M / GT 720M / GT,NVIDIA,369,,,2014
Matrox Millennium P690 PCIe x16,Unknown,367,,,2009
Mobility Radeon HD 3850,AMD,366,,0.5,2009
HD 7620G,AMD,366,1232.0,,2012
HD4670,AMD,366,,,2012
GT 620,NVIDIA,365,1337.0,1.0,2012
HD 7520G N HD 7520G + HD 7600M N HD 7600M D,AMD,365,,,2013
HD 7660G + HD 8600M Dual,AMD,364,,,2016
HD 8470D,AMD,362,1115.0,,2013
HD 8450G,AMD,361,984.0,,2013
HD 8510G,AMD,361,1370.0,,2013
Quadro FX 2700M,NVIDIA,358,,0.5,2009
HD 7500G + HD 7500M/7600M Dual,AMD,356,,,2015
GT 705,NVIDIA,355,1247.0,1.0,2014
HD 6620G,AMD,355,863.0,,2012
Mobility Radeon HD 565v,AMD,353,,1.0,2011
HD 6480M,AMD,353,,,2015
HD 7580D,AMD,351,,,2013
9600 GSO,NVIDIA,350,,0.38,2009
GT 130,NVIDIA,347,,0.75,2009
9600 GSO 512,NVIDIA,345,,,2009
7950 GT,NVIDIA,344,,0.5,2011
FireGL V5600,Unknown,341,,0.5,2009
FirePro 3D V3750,AMD,341,,,2009
HD 8310E,AMD,341,,,2015
HD 7660D + HD 7400 Dual,AMD,340,,,2015
HD 505,Intel,339,,,2019
HD 8570D + HD 8470 Dual,AMD,338,,,2016
HD 7540D,AMD,336,1073.0,,2012
FirePro RG220,AMD,335,,,2011
HD 4000,Intel,333,,,2012
FirePro V3800,AMD,332,,,2016
8800 GS,NVIDIA,332,,0.38,2009
R5 310,AMD,332,,,2015
HD 7450M,AMD,330,476.0,1.0,2015
HD 7500G,AMD,330,824.0,,2012
GT 625,NVIDIA,329,1026.0,,2013
HD 7600G + HD 7400M Dual,AMD,329,,,2015
R5 235,AMD,329,779.0,1.0,2014
UHD 600,Intel,328,,,2018
9700M GTS,NVIDIA,326,,0.5,2010
GT 120 / 9500 GT,NVIDIA,325,,,2011
HD 6530D,AMD,325,845.0,,2012
E6460,AMD,324,,,2015
GT 230,NVIDIA,322,,0.5,2009
240M GT,NVIDIA,320,,,2019
HD 7600G,AMD,320,1086.0,,2012
HD6370D,AMD,320,,,2011
HD 8280,AMD,319,,,2014
Mobility Radeon HD 560v,AMD,318,,1.0,2010
HD 7470,AMD,316,791.0,0.5,2012
HD 7520G,AMD,312,966.0,,2012
HD 7420G,AMD,311,675.0,,2012
HD 7520G + 8600/8700M Dual,AMD,311,,,2014
HD 8370D,AMD,311,783.0,,2013
Quadro FX 3500M,NVIDIA,306,,0.5,2009
605,NVIDIA,305,764.0,,2012
GT 610,NVIDIA,303,1164.0,1.0,2012
R1E,AMD,301,,,2017
Q965/Q963 Express,Intel,300,,,2009
HD 6520G,AMD,300,704.0,,2012
R5E,AMD,300,1991.0,,2014
GT 520,NVIDIA,297,1139.0,1.0,2011
HD P3000,Intel,297,,,2012
HD 500,Intel,294,,,2019
9600M GT / GeForce GT 220M,NVIDIA,293,,,2010
GT 520MX,NVIDIA,293,1081.0,1.0,2012
GRID K120Q,Unknown,293,,,2015
610M,NVIDIA,292,1086.0,1.0,2012
Quadro FX 3500,NVIDIA,292,,0.25,2009
HD 2900 GT,AMD,292,,0.25,2012
7800 GTX,NVIDIA,291,,0.5,2009
IncrediblE HD 3000,Unknown,291,,,2021
7950 Xtreme,NVIDIA,288,,,2015
GT 520M,NVIDIA,288,1013.0,1.0,2012
HD 7450A,AMD,288,668.0,,2012
GT 415M,NVIDIA,286,751.0,0.5,2011
NVS 315,Unknown,286,851.0,,2014
Mobile Intel HD,Intel,285,,,2011
HD 7480D,AMD,285,751.0,,2012
Mobility Radeon HD 5165,AMD,284,,1.0,2010
HD 2600 XT,AMD,283,,0.25,2011
R5 235X,AMD,280,,1.0,2014
9600 GS,NVIDIA,279,,0.75,2010
HD 6370M,AMD,276,,1.0,2010
HD 8400E,AMD,273,,,2013
9650M GS,NVIDIA,270,,0.5,2009
Go 7900 GTX,NVIDIA,270,,0.5,2009
HD 8280G,AMD,270,,,2013
Qualcomm Adreno 630 GPU,Qualcomm,268,,,2019
HD 5470,AMD,268,,,2014
HD 7400G,AMD,267,592.0,,2012
GT 120M,NVIDIA,266,,1.0,2009
Mobility Radeon HD 550v,AMD,266,,1.0,2010
HD 8490,AMD,265,897.0,,2014
Go 7950 GTX,NVIDIA,264,,0.5,2009
HD 6450A,AMD,260,,1.0,2012
HD 6480G,AMD,259,618.0,,2012
7900 GT,NVIDIA,258,,0.25,2009
HD 8400,AMD,258,1453.0,,2013
510,NVIDIA,257,758.0,1.0,2011
HD 3000,Intel,257,,,2012
NVS 4200M,Unknown,257,1155.0,1.0,2012
HD 8470,AMD,257,785.0,,2013
7900 GS,NVIDIA,254,,0.25,2009
Quadro NVS 510M,NVIDIA,254,,1.0,2010
HD 6370D,AMD,254,,,2011
HD 8330,AMD,252,1726.0,,2013
410M,NVIDIA,250,872.0,1.0,2011
HD 7640G + 8600M Dual,AMD,250,,,2017
GT 415,NVIDIA,248,,,2013
CARRIZO 9874,Unknown,247,,,2020
7900 GT/GTO,NVIDIA,247,,,2009
7800 GT,NVIDIA,244,,0.25,2009
HD 6410D,AMD,243,610.0,,2011
NVS 310,Unknown,242,851.0,,2012
Quadro FX 5500,NVIDIA,242,,1.0,2009
HD 8330E,AMD,242,1214.0,,2013
HD 8240,AMD,241,978.0,,2013
HD 8280E,AMD,241,1210.0,,2014
HD4650,AMD,240,,,2012
HD 7640G + R5 M230 Dual,AMD,239,,,2016
Mobility Radeon HD 5470,AMD,236,,1.0,2012
Quadro FX 4500 X2,NVIDIA,236,,,2010
HD 4550,AMD,236,,0.25,2012
Mobility Radeon HD 3670,AMD,232,,0.5,2009
E6465,AMD,231,,,2018
R2E,AMD,229,,,2014
HD 6470M,AMD,228,747.0,1.0,2012
Quadro FX 4500,NVIDIA,226,,0.5,2009
R5 230,AMD,222,641.0,1.0,2018
HD6450,Unknown,221,,,2016
HD 7340M,AMD,221,,,2012
HD 7450,AMD,221,642.0,0.5,2012
A6 Micro 6500T Quad Core APU with RadeonR4,AMD,220,,,2016
320M,NVIDIA,219,,,2011
Mobility FireGL V5725,Unknown,219,,,2009
Quadro FX 880M,NVIDIA,219,,1.0,2010
HD 4650,AMD,219,,0.5,2011
Quadro FX 2500M,NVIDIA,218,,1.0,2009
9700M GT,NVIDIA,217,,0.5,2009
HD 6320 Graphic,AMD,216,,,2011
Mobility Radeon. HD 5470,AMD,215,,,2013
Mobility Radeon HD 5450,AMD,214,,1.0,2010
HD 2000,Intel,213,,,2015
2nd Generation SandyBridge HD,Intel,212,,,2017
WinFast GT 610,Unknown,212,,,2014
GT 220,NVIDIA,211,,1.0,2012
HD 2600 PRO,AMD,211,,,2011
Go 7600 GT,NVIDIA,210,,0.25,2009
Go 7800 GTX,NVIDIA,210,,0.5,2009
GT 330M,NVIDIA,209,,1.0,2012
HD 4650 AGP,AMD,208,,,2011
HD 8250,AMD,208,1075.0,,2013
Barco MXRT 1450,Unknown,206,,,2013
i gfx driver ci master 9938,Intel,206,,,2021
R3E,AMD,206,,,2015
GT 240M,NVIDIA,205,,1.0,2009
2nd Generation SandyBridge HD 3000,Intel,205,,,2016
Quadro NVS 290,NVIDIA,205,,0.25,2009
7600 GT,NVIDIA,204,,,2009
HD 6380G,AMD,204,426.0,,2012
7950 GX2,NVIDIA,202,,1.0,2009
GT 230M,NVIDIA,201,,1.0,2009
G200,NVIDIA,200,,,2010
Mobility Radeon HD 545v,AMD,200,,1.0,2010
HD 6450,AMD,200,632.0,0.5,2011
HD7450,AMD,199,,,2014
Quadro FX 770M,NVIDIA,198,,0.5,2009
HD 6320M,AMD,198,,,2011
HD 7340G,AMD,196,,,2012
6800 GS,NVIDIA,195,,0.25,2009
Infoshock HD,Intel,194,,,2017
HD 8210E,AMD,194,,,2017
HD 6430M,AMD,193,,1.0,2013
HD 7350,AMD,193,,0.5,2012
Mobility Radeon HD 2600 XT,AMD,192,,0.25,2009
Mobility Radeon HD 4550,AMD,191,,0.5,2010
HD 8210,AMD,191,784.0,,2013
NVS 5100M,Unknown,190,,1.0,2010
Quadro FX 1500,NVIDIA,190,,0.25,2009
Mobility Radeon HD 540v,AMD,188,,0.5,2010
505,NVIDIA,187,,,2013
Quadro FX 1600M,NVIDIA,186,,0.5,2009
Quadro FX 3450/4000 SDI,NVIDIA,186,,,2009
Quadro FX 380,NVIDIA,186,,0.25,2012
Mobility Radeon HD 5430,AMD,181,,1.0,2010
HD 7310G,AMD,181,,,2014
Barco MXRT 7100,Unknown,180,,,2013
FireGL V3600,Unknown,180,,0.25,2009
FirePro 3D V3700,AMD,179,,,2011
HD 6230,AMD,179,,,2013
7800 GS,NVIDIA,177,,0.25,2009
Go 7900 GS,NVIDIA,176,,0.5,2009
GT 120,NVIDIA,175,,0.5,2009
Mobility Radeon HD 530v,AMD,175,,1.0,2010
HD 7310 Carte graphique,AMD,174,,,2014
Quadro FX 1700M,NVIDIA,173,,0.5,2009
9200,NVIDIA,171,,,2009
GT 325M,NVIDIA,171,,1.0,2011
Quadro FX 1500M,NVIDIA,171,,0.5,2009
FirePro 2460,AMD,170,,,2012
HDG 4670,AMD,170,,,2015
Mobility Radeon HD 2600,AMD,168,,0.25,2012
HD 7310M,AMD,166,,,2012
HD manual gen9 2015 133271,Intel,165,,,2017
HD 8350,AMD,165,,,2013
VIA/S3G C 645/640 GPU,Unknown,163,,,2019
8600 GTS,NVIDIA,161,,,2012
315,NVIDIA,159,,,2010
7600 GS,NVIDIA,158,,0.25,2012
9200M GE,NVIDIA,157,,0.06,2009
9500 GS,NVIDIA,157,,0.5,2012
HD 7340,AMD,157,389.0,,2012
Quadro FX 570,NVIDIA,156,,0.25,2009
HD 4300/4500 Serisi,AMD,156,,,2014
Quadro FX 580,NVIDIA,155,,0.5,2009
8200,NVIDIA,153,,,2009
HD 8180,AMD,152,,,2013
305M,NVIDIA,151,,0.5,2012
HD 3670,AMD,151,,,2011
X1950 CrossFire Edition,AMD,151,,,2009
HD 3650 AGP,AMD,150,,,2011
Quadro FX 3450,NVIDIA,149,,0.25,2009
Go 7700,NVIDIA,148,,0.5,2009
Mobility Radeon HD 4350,AMD,148,,0.5,2011
