gpu_name,benchmark_score,tier
7150M / nForce 630M,18,D
FX 5600 Ultra,17,D
FX Go5650,17,D
Go 6200,15,D
NV44,15,D
82945G Express,14,D
HD 2400 PCI,14,D
Quadro FX 500/600 PCI,14,D
FX 5600,13,D
FX Go5300,13,D
7000M,13,D
7000M / nForce 610M,13,D
FX 5200SE,12,D
FX 5200 Ultra,12,D
FireMV 2400 PCIe,11,D
PHDGD Solo 1.2.0 x86,11,D
RGH Drivers v3,11,D
MOBILITY IGP 9000/9100,10,D
Familia Intel Q33 Express Chipset,10,D
Master X3100 Driver,10,D
Matrox Parhelia 256MB,9,D
VIA Chrome9 HD IGP,9,D
GeCube RADEON 7000,9,D
ASUS A7000,9,D
FX 5600XT,9,D
82945G Express Chipsatzfamilie,8,D
FX 5100,8,D
FX 5200,8,D
FX 5500,8,D
FX Go 5200,8,D
Q35 Embedded,8,D
ASUS V9520 X V62.11,8,D
Mobile Intel 965 Express BR 0907 0461 v1839,8,D
MOBILITY RADEON 9000 IGP,8,D
Quadro FX 500/FX 600,8,D
Quadro NVS 280 PCI,8,D
Matrox Millennium P690 Plus LP PCIe x16,7,D
GeForce4 Ti 4800 SE,7,D
Quadro4 380 XGL,7,D
US15 Embedded Media and Controller,7,D
8500 Family,7,D
GeForce4 Ti 4400,7,D
GeForce4 MX Integrated GPU,7,D
FX 5200LE,7,D
Famille de jeu de puces Express Intel 946GZ,7,D
Media Accelerator 600,7,D
ALL IN WONDER RADEON 8500DV,6,D
Mobile Intel 945GM Express,6,D
VIA/S3G UniChromeII,6,D
V9560XT V62.11,6,D
IGP 350M,6,D
Quadro NVS 55/280 PCI,6,D
MOBILITY RADEON 9000/9100 IGP,6,D
MOBILITY RADEON 7000 IGP,6,D
Matrox Parhelia APVe,6,D
9100 Family,6,D
GeForce4 Ti 4800,6,D
PCX 5300,6,D
GeForce4 Ti 4200,6,D
Quadro 280 NVS PCIe,6,D
82915G Express,6,D
64MB DDR GeForce3 Ti 200,6,D
GeForce4 Ti 4600,6,D
GeForce2 Ultra,6,D
GeForce4 440 Go 64M,6,D
GeForce4 448 Go,6,D
82865G Controller,5,D
GeForce4 420 Go 32M,5,D
GeForce4 MX 440 with AGP8X,5,D
GeForce4 MX 440,5,D
GeForce4 MX 420,5,D
GeForce4 MX 4000,5,D
GeForce4 440,5,D
GeForce2 MX with DVI D and TV out,5,D
GeForce3,5,D
915G/915GV/910GL Embedded Controller Functio,5,D
GeForce2 Ti,5,D
GeForce4 MX 440SE,5,D
256,5,D
WinFast A250 LE,5,D
ASUS AGP V3800PRO v31.40H,5,D
MOBILITY FIREGL 7800,5,D
ALL IN WONDER 9000,5,D
Mobile Intel 945GM/GU Express,5,D
9000,5,D
XGI Volari Family v1.13.23.D V,5,D
VIA/S3G UniChrome Pro IGP,5,D
SAPPHIRE RADEON 9000 ATLANTIS PRO,5,D
9100 IGP,5,D
7500 Family,5,D
Xabre,5,D
Quadro4 900 XGL,5,D
Quadro4 980 XGL,5,D
Matrox Millennium P650 PCIe 128,5,D
Q33 Express,5,D
945G Embedded Chipset Function 0,5,D
Quadro2 MXR/EX,5,D
7000 / RADEON VE Family,4,D
9000 Family,4,D
VIA Chrome9 HC IGP Family WDDM,4,D
IGP 320M,4,D
MOBILITY RADEON 7500,4,D
GeForce2 MX/MX 400,4,D
MOBILITY/RADEON 9000,4,D
IGP 320,4,D
RIVA TNT2 Model 64/Model 64 Pro,4,D
VIA Chrome9 HC IGP,4,D
VIA Chrome9 HC IGP Family,4,D
865 Embedded Controller,4,D
VIA/S3G KM400/KN400,4,D
GeForce2 GTS/GeForce2 Pro,4,D
6200A,4,D
GeForce2 Go,4,D
82915G/915GV/910GL,4,D
VIA/S3G UniChrome IGP,4,D
ABIT Siluro T400,4,D
"915G,910G Express",4,D
Dell 8200,4,D
GeForce2 Integrated GPU,4,D
GeForce3 Ti 200,4,D
GeForce4 4200 Go,4,D
GeForce4 440 Go,4,D
GeForce4 MX 460,4,D
GeForce2 MX 100/200,3,D
GeForce2 MX,3,D
AMIGAMERLIN 3.1 R1 For Voodoo 4 4500 PCI,3,D
Vanta/Vanta LT,3,D
64MB GeForce2 MX with TV Out,3,D
VIA Chrome9 HC IGP WDDM,3,D
GeForce3 Ti 500,3,D
RIVA TNT2/TNT2 Pro,3,D
7200,3,D
VIA Chrome9 HC IGP WDDM 1.1,3,D
VIA Chrome9 HC3 IGP,3,D
VIA/S3G DeltaChrome IGP,3,D
S3 Inc. Savage4,3,D
9250,3,D
82845G/GL Controller,3,D
IGP 345M,3,D
GeForce4 420 Go,3,D
IGP 340M,3,D
7500,3,D
MOBILITY RADEON 9000,3,D
9200 PRO Family,3,D
9200 LE Family,3,D
Rage Fury Pro/Xpert 2000 Pro,3,D
7000 / Radeon VE,3,D
GMA 3150 Express,3,D
MOBILITY RADEON 9200,3,D
82915G/GV/910GL Express,3,D
82915G/GV/910GL Advanced v3.5,3,D
946GZ Express,3,D
Media Accelerator 3150,3,D
Media Accelerator 500,3,D
Matrox Parhelia 128MB,3,D
9200 SE,3,D
MOBILITY RADEON 9100 IGP,3,D
946GZ Embedded Chipset Function 0,3,D
82845G/GL/GE/PE/GV Controller,3,D
Mobile Intel 945 Express,2,D
Dell 8100,2,D
82845G Controller,2,D
Extreme Controller,2,D
Mobile Intel 915GM/GMS/910GML Express,2,D
S3 SuperSavage/IXC 1014,2,D
IGP 34xM,2,D
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,D
VIA Chrome9 HCM IGP,2,D
Quadro NVS 280 SD,2,D
VisionTek Radeon 7000,2,D
FireMV 2200 PCI,1,D
82852/82855 GM/GME Controller,1,D
Quadro2 Pro,1,D
Rage 128 Pro,1,D
RAGE 128 PRO AGP 4X TMDS,1,D
S3 ProSavageDDR,1,D
