gpu_name,benchmark_score,tier
GTX 660 Ti,4367,A
Quadro M2200,4342,A
FirePro W7000 Adapter,4340,A
GRID GTX P40 6,4340,A
Quadro K4200,4337,A
Barco MXRT 7500,4319,A
R9 270,4306,A
GRID RTX6000P 4Q,4283,A
FirePro W7000,4276,A
GTX 680MX,4271,A
R9 270 / R7 370,4260,A
GTX 775M,4208,A
FirePro S7000,4166,A
GRID V100D 8Q,4156,A
FirePro W8000,4138,A
RX 460,4114,A
GTX 480,4110,A
HD 7800 serie,4029,A
RX 5500M,4010,A
GTX 660,4004,A
GRID RTX8000 4Q,3961,A
Quadro M2000,3942,A
GTX 750 Ti,3919,A
GTX 570,3902,A
Quadro K5000,3901,A
T400 4GB,3887,A
Quadro K2200M,3877,A
HD 8970M,3876,A
GTX 880M,3876,A
GRID RTX8000P 2Q,3843,A
HD 7850,3826,A
GTX 965M,3824,A
GTX 1050 with Max Q Design,3785,A
HD 7970M,3774,A
Pro WX 4100,3766,A
GTX 780M,3755,A
MX450,3743,A
Pro 560X,3678,A
Quadro P620,3640,A
T400,3627,A
T500,3597,A
RX 560,3594,A
GRID RTX8000 2Q,3574,A
GTX 680M KY Bullet Edition,3569,A
RX 5300M,3562,A
Quadro K2200,3541,A
Quadro M2000M,3539,A
Tesla C2050,3515,A
Quadro 7000,3505,A
Tesla M10,3490,A
Pro 560,3475,A
Pro 460,3453,A
Tesla C2050 / C2070,3428,A
GTX 960M,3419,A
R9 M470X,3400,A
GTX 750,3399,A
GRID K520,3399,A
GTX 870M,3380,A
R9 M290X,3375,A
HD8970M,3369,A
E8870PCIe,3368,A
Quadro M1200,3342,A
GTX 650 Ti BOOST,3330,A
Quadro P600,3324,A
RX Vega M GL,3315,A
GTX 590,3307,A
Quadro K5100M,3266,A
770M,3246,A
R9 M485X,3204,A
RX 560X,3181,A
RadeonT RX 5500M,3166,A
FirePro V7000,3162,A
FirePro W7170M,3162,A
GTX 470,3147,A
R7 260X,3147,A
Pro 555,3141,A
Tesla C2075,3118,A
Pro 455,3113,A
Tesla C2070,3101,A
G35 Express,3090,A
HD 7790,3090,A
GTX 680M,3077,A
FirePro W5000,3056,A
GTX 560 Ti,3056,A
GTX 860M,3045,A
EIZO MED X5000,3038,A
R7 360,3034,A
R9 360,3032,A
R9 M390X,3021,A
R9 260,3018,A
HD 6990,3013,A
Quadro M1000M,2987,A
FirePro W5100,2957,A
GRID K260Q,2949,A
R9 M380,2931,A
R7 260,2892,A
Quadro K1200,2874,A
FirePro W4300,2863,A
HD 6970,2863,A
MX350,2855,A
Pro V340 MxGPU,2853,A
Quadro M620,2845,A
GRID K280Q,2840,A
Custom GPU 0405,2832,A
FirePro 3D V9800,2812,A
GTX 770M,2786,A
Iris Xe,2782,A
Quadro K4100M,2756,A
Quadro K5000M,2754,A
GRID K2,2737,A
FirePro V9800,2727,A
Pro 450,2723,A
RX 550,2718,A
GTX 560,2711,A
Barco MXRT 5500,2702,A
Quadro K4000,2700,A
Quadro 6000,2689,A
GTX 465,2681,A
FirePro M6100 FireGL V,2656,A
HD 6950,2650,A
FirePro R5000,2647,A
MONSTER GeForce GTX 675M,2637,A
Pro WX 3100,2627,A
Pro,2615,A
UHD 770,2611,A
GTX 950M,2602,A
GTX 850M,2574,A
MX330,2547,A
GT 1030,2545,A
UHD P630,2541,A
GRID K240Q,2541,A
HD 6850 X2,2534,A
FireStream 9370,2528,A
GTX 650 Ti,2527,A
N18E Q1,2525,A
MX250,2515,A
GTX 950A,2483,A
Pro WX 3200,2456,A
FirePro 3D V8800,2438,A
GTX 960A,2411,A
RX Vega 11 PRD,2402,A
P106 090,2402,A
GTX 580M,2373,A
RX 550X,2370,A
GTX 485M,2360,A
GTX 675MX,2338,A
MX150,2310,A
FirePro V7900,2310,A
GTX 460,2289,A
R9 M470,2288,A
HD 6970M,2270,A
R7 250X,2269,A
HD 8950,2267,A
HD 5870,2266,A
Quadro K3100M,2263,A
HD 5970,2249,A
Quadro K620,2246,A
FirePro V8800,2223,A
HD 6870,2223,A
HD 7770,2204,A
RadeonT R7 450,2185,A
GTX 745,2175,A
Iris Pro P580,2169,A
Ryzen Embedded V2718,2149,A
RX Vega 11,2137,A
Quadro P520,2126,A
TM R9 A360,2105,A
FirePro M5100,2103,A
GTX 560 SE,2087,A
Quadro 5000M,2060,A
GTX 480M,2051,A
FirePro V7800,2034,A
R9 M385,2018,A
Pro W5500M,2010,A
Quadro M600M,2008,A
R9 350,2007,A
GT 645,2006,A
GTX 460 v2,2005,A
Iris Pro 580,1993,A
Quadro 5000,1982,A
R7 + R7 350 Dual,1982,A
Quadro M520,1981,A
HD 6850,1979,A
