canonical_name,benchmark_score,tier
Intel Xeon Gold 6152,22291,S
Intel Xeon Gold 6136,22266,S
AMD Ryzen 9 5900HS,22215,S
Intel Xeon Gold 6334,22160,S
Intel Xeon Gold 5218,22117,S
AMD Ryzen 5 5600X,22088,S
Intel Xeon W-1290E,22066,S
AMD Ryzen Threadripper 1920,22066,S
Intel Xeon W-2255,22042,S
AMD EPYC 7551,22005,S
Intel Core i9-9900X,21868,S
Intel Xeon Gold 6130T,21803,S
Intel Core i9-10910,21799,S
Intel Xeon E5-2698 v4,21755,S
Intel Xeon E5-2697 v4,21545,S
Intel Xeon E5-2697A v4,21494,S
AMD Ryzen 7 5800H,21469,S
Intel Core i7-11700F,21447,S
AMD Ryzen 9 5980HS,21412,S
Intel Core i9-11900H,21385,S
Intel Core i5-12600,21368,S
Intel Core i7-11800H,21363,S
AMD Ryzen 5 5600,21350,S
Intel Core i9-7900X,21310,S
AMD EPYC 7281,21230,S
Intel Xeon Gold 5315Y,21225,S
Intel Core i7-11850H,21212,S
Intel Xeon W-2155,21198,S
Intel Xeon Gold 6132,21042,S
Intel Core i7-1270P,21030,S
Intel Xeon Silver 4310T,20973,S
AMD Ryzen 9 5900H,20960,S
AMD Ryzen 7 5800HS Creator Edition,20948,S
Intel Core i9-10900F,20881,S
AMD Ryzen 7 PRO 4700G,20848,S
Intel Xeon E5-2697R v4,20843,S
AMD EPYC 7262,20827,S
Intel Xeon Gold 6130,20721,S
AMD Ryzen 7 5800HS,20684,S
Intel Core i9-10900E,20658,S
AMD Ryzen 5 PRO 5650G,20633,S
Intel Core i7-11700,20588,S
AMD Ryzen 7 PRO 4750G,20570,S
Intel Xeon W-1290,20533,S
AMD EPYC 7451,20471,S
Intel Xeon W-2150B,20457,S
Intel Core i9-10900,20446,S
Intel Xeon Gold 6244,20402,S
AMD Ryzen 7 4700GE,20392,S
Intel Xeon E5-2695 v4,20373,S
AMD Ryzen 7 PRO 5875U,20369,S
Intel Core i5-12500,20309,S
Intel Core i9-11900T,20225,S
AMD Ryzen 7 4700G,20138,S
Intel Xeon E5-2699 v3,20138,S
Intel Xeon E5-2690 v4,20094,S
Intel Xeon E5-2699C v4,20079,S
AMD Ryzen 5 5500,19949,S
Intel Xeon W-1350P,19935,S
AMD Ryzen 5 5600G,19830,S
Intel Core i5-12450H,19820,S
Intel Xeon Gold 6226,19810,S
Intel Xeon E5-2698 v3,19794,S
Intel Core i5-11600K,19781,S
Intel Core i5-11600KF,19742,S
Intel Core i5-12400F,19659,S
Intel Core i5-12400,19571,S
Intel Xeon E5-2682 v4,19551,S
AMD EPYC 7252,19550,S
Intel Core i9-9900KS,19518,S
Intel Xeon Silver 4216,19451,S
Intel Xeon W-2245,19446,S
AMD Ryzen 9 4900HS,19425,S
Intel Xeon Gold 6137,19365,S
Intel Core i7-7900X,19358,S
AMD Ryzen 9 4900H,19339,S
Intel Core i7-10700K,19277,S
Intel Xeon W-1270P,19245,S
Intel Xeon E5-2697 v3,19238,S
Intel Xeon Gold 6126,19223,S
Intel Core i7-10700KF,19143,S
AMD Ryzen 7 4800H,19056,S
Intel Core i7-12800H,19052,S
Intel Xeon Silver 4309Y,19010,S
Intel Xeon E5-2676 v4,18978,S
Intel Core i5-1240P,18963,S
Intel Xeon W-1350,18940,S
AMD Ryzen 5 5600GE,18879,S
AMD Ryzen 7 4800HS,18864,S
Intel Xeon W-11855M,18857,S
AMD Ryzen 7 5800U,18852,S
Intel Xeon Silver 4214R,18846,S
Hygon C86 7255 16-core,18831,S
ARM Neoverse-N1 80 Core 2600 MHz,18823,S
AMD Ryzen 5 3600XT,18780,S
Intel Xeon E-2356G,18757,S
AMD Ryzen 5 PRO 5650GE,18716,S
Intel Core i9-9900K,18716,S
Intel Core i9-9900KF,18691,S
Intel Xeon Gold 6144,18656,S
AMD Ryzen 5 PRO 6650U,18649,S
Intel Xeon W-1270E,18635,S
AMD Ryzen 7 PRO 4750GE,18550,S
Intel Xeon Platinum P-8124,18416,S
Intel Xeon W-1290T,18409,S
Intel Xeon D-2183IT,18385,S
Intel Core i5-11600,18318,S
Intel Core i9-9820X,18288,S
AMD Ryzen 5 3600X,18285,S
Intel Xeon E-2378,18248,S
Intel Xeon E7-8880 v3,18244,S
Intel Core i7-9800X,18240,S
Intel Xeon W-2145,18225,S
AMD 4700S,18224,S
AMD Ryzen 7 Extreme Edition,18209,S
Intel Core i5-12600T,18202,S
Intel Xeon E5-2686 v3,18148,S
AMD Ryzen 7 5825U,18122,S
Intel Xeon W-1270,18093,S
Intel Xeon D-2187NT,18070,S
AMD Ryzen Embedded V2718,17972,S
AMD Ryzen 5 PRO 3600,17900,S
Intel Core i9-10900TE,17888,S
AMD Ryzen 5 3600,17822,S
Intel Xeon E5-2680R v4,17795,S
Intel Core i5-11500B,17783,S
Intel Xeon E5-2687W v4,17757,S
Intel Xeon E5-2680 v4,17737,S
Intel Core i5-12500T,17728,S
Intel Xeon E-2278G,17706,S
Intel Xeon Gold 5120,17686,S
Intel Core i5-11500,17626,S
AMD Ryzen 7 PRO 5850U,17581,S
AMD Ryzen 7 2700X,17578,S
Intel Xeon W-2140B,17576,S
Intel Xeon Gold 5120T,17540,S
Intel Xeon E5-2673 v4,17533,S
Apple M1 Pro 8 Core 3200 MHz,17521,S
Intel Xeon W-3223,17456,S
Intel Xeon E5-4669 v3,17430,S
Intel Xeon E5-2683 v4,17388,S
Intel Xeon E-2288G,17313,S
Intel Core i7-7820X,17283,S
AMD Ryzen 7 PRO 2700X,17221,S
Intel Core i5-11400F,17213,S
AMD Ryzen 5 5600H,17196,S
Intel Core i7-6950X,17142,S
Intel Core i5-11400,17132,S
AMD Ryzen 7 4800U,17073,S
Intel Core i7-10700E,17020,S
AMD EPYC 7232P,17017,S
Intel Core i7-10700F,16973,S
AMD Ryzen Threadripper 1900X,16955,S
Intel Core i7-10700,16946,S
Intel Xeon E5-2689 v4,16936,S
Intel Core i9-9900,16873,S
Intel Xeon E5-2686 v4,16745,A
AMD Ryzen 5 4500,16698,A
Intel Xeon Gold 6134,16518,A
Intel Core i5-11500H,16458,A
AMD Ryzen 5 PRO 4400G,16456,A
Intel Xeon E5-2690 v3,16444,A
AMD Ryzen 5 PRO 4650G,16428,A
Intel Core i7-11600H,16403,A
Intel Core i7-10700TE,16332,A
AMD Ryzen 7 1800X,16306,A
Intel Xeon Gold 5118,16287,A
Intel Core i9-10980HK,16271,A
AMD Ryzen Embedded V2748,16186,A
Intel Xeon E5-2669 v3,16107,A
AMD Ryzen 7 5700U,16104,A
Intel Core i5-11400H,16073,A
Intel Core i7-1260P,16020,A
Intel Xeon W-10885M,16013,A
AMD Ryzen 7 4850U Mobile,15920,A
Intel Xeon E-2336,15900,A
Intel Xeon Gold 5117,15816,A
Intel Xeon E5-2695 v3,15801,A
Intel Xeon Silver 4214,15772,A
AMD Ryzen 5 PRO 4650GE,15712,A
Intel Core i9-10885H,15679,A
AMD Ryzen 5 4600GE,15656,A
AMD Ryzen 7 2700,15654,A
AMD Ryzen 5 4600G,15577,A
