canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
Sony Mobile fusion3,Sony Mobile fusion3,Unknown,428,4,,unknown,Unknown
Intel Celeron G440,Celeron G440,Intel,426,1,35.0,LGA1155,Desktop
Intel Xeon 3.00GHz,Xeon 3.00GHz,Intel,425,1,103.0,PPGA604,Server
ARM Cortex-A53 4 Core 1296 MHz,ARM Cortex A53 4 Core 1296 MHz,Intel,425,4,,unknown,Unknown
Qualcomm MSM8916,Qualcomm MSM8916,Unknown,424,4,,unknown,Mobile/Embedded
Intel Pentium D 915,Pentium D 915,Intel,423,2,95.0,PLGA775,Desktop
AMD E-450 APU,E 450 APU,AMD,422,2,18.0,FT1,Laptop
AMD Athlon LE-1620,Athlon LE 1620,AMD,421,1,45.0,AM2,Desktop
Intel Celeron N2810,Celeron N2810,Intel,420,2,7.5,FCBGA1170,Laptop
AMD Athlon LE-1660,Athlon LE 1660,AMD,416,1,45.0,AM2,Desktop
AMD G-T48E,G T48E,AMD,416,2,18.0,FT1,Laptop
Samsung GrandPrimePlus LTE LTN OPEN rev04 board ba,Samsung GrandPrimePlus LTE LTN OPEN rev04 board ba,Unknown,415,4,,unknown,Mobile/Embedded
AMD E-350,E 350,AMD,414,2,18.0,FT1,"Desktop, Laptop"
AMD Athlon LE-1600,Athlon LE 1600,AMD,412,1,45.0,AM2,Desktop
AMD Athlon 1640B,Athlon 1640B,AMD,412,1,45.0,AM2,Desktop
Intel Celeron 900,Celeron 900,Intel,409,1,34.8,PGA478,Laptop
MediaTek MT6739WW,MediaTek MT6739WW,Unknown,409,4,,unknown,Mobile/Embedded
Intel Core Duo T2500,Duo T2500,Intel,408,2,31.0,BGA479,Laptop
Intel Atom D2550,Atom D2550,Intel,408,2,10.0,BGA559,Desktop
AMD E1-2100 APU,E1 2100 APU,AMD,407,2,9.0,FT3,Laptop
Intel Core2 Duo U7500,Core2 Duo U7500,Intel,405,2,10.0,BGA479,Laptop
MT8735P,MT8735P,Unknown,405,4,,unknown,Mobile/Embedded
AMD Athlon 64 FX-55,Athlon 64 FX 55,AMD,404,1,104.0,939,Desktop
Intel Core Duo L2500,Duo L2500,Intel,404,2,15.0,BGA479,Laptop
Intel Atom D510,Atom D510,Intel,404,2,13.0,BGA559,Desktop
Intel Core Duo T2450,Duo T2450,Intel,404,2,31.0,PGA478,Laptop
Intel Xeon 3.60GHz,Xeon 3.60GHz,Intel,403,1,110.0,PPGA604,Server
AMD E-350 APU,E 350 APU,AMD,401,2,18.0,FT1 BGA,"Desktop, Laptop"
AMD Turion 64 Mobile ML-42,Turion 64 Mobile ML 42,AMD,400,1,35.0,754,Laptop
AMD Sempron LE-1300,Sempron LE 1300,AMD,400,1,45.0,AM2,Desktop
Intel Core i7-2630UM,i7 2630UM,Intel,400,2,,unknown,Laptop
AMD Geode NX 2400+,Geode NX 2400+,AMD,400,1,,unknown,Unknown
ARM Cortex-A53 4 Core 1600 MHz,ARM Cortex A53 4 Core 1600 MHz,Intel,400,4,,unknown,Unknown
Intel Atom D525,Atom D525,Intel,399,2,13.0,BGA559,Desktop
QCT APQ8064 MAKO,QCT APQ8064 MAKO,Unknown,399,4,,unknown,Unknown
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,Intel,399,4,,unknown,Unknown
AMD Athlon 64 3500+,Athlon 64 3500+,AMD,396,1,45.0,AM2,Unknown
Samsung Exynos 7570,Samsung Exynos 7570,Unknown,396,4,,unknown,Mobile/Embedded
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,Intel,396,4,,unknown,Unknown
AMD Athlon 64 3700+,Athlon 64 3700+,AMD,394,1,89.0,939,Desktop
AMD Opteron 150,Opteron 150,AMD,393,1,85.3,939,Server
VIA Nano X2 U4025,VIA Nano X2 U4025,Unknown,393,2,,BGA400,Laptop
Intel Xeon 3.80GHz,Xeon 3.80GHz,Intel,393,1,110.0,PPGA604,Server
AMD Opteron 148,Opteron 148,AMD,392,1,85.3,939,Server
Intel Celeron 807,Celeron 807,Intel,392,1,17.0,BGA-1023,Laptop
AMD A4-1200 APU,A4 1200 APU,AMD,391,2,3.9,FT3,Laptop
AMD E1-1500 APU,E1 1500 APU,AMD,390,2,18.0,FT1,Laptop
Intel Core Duo L2300,Duo L2300,Intel,387,2,15.0,BGA479,Desktop
AMD Athlon II Neo K325 Dual-Core,Athlon II Neo K325 Dual Core,Intel,387,2,12.0,unknown,Laptop
Intel Atom E3825,Atom E3825,Intel,385,2,6.0,FCBGA1170,Desktop
Intel Pentium 4 3.73GHz,Pentium 4 3.73GHz,Intel,385,1,115.0,unknown,Desktop
AMD Turion 64 Mobile ML-44,Turion 64 Mobile ML 44,AMD,384,1,35.0,754,Laptop
Intel Core Duo T2350,Duo T2350,Intel,384,2,31.0,PGA478,Laptop
AMD Turion 64 X2 Mobile TL-52,Turion 64 X2 Mobile TL 52,AMD,384,2,31.0,S1,Laptop
Intel Pentium T2130,Pentium T2130,Intel,382,2,31.0,PGA478,Laptop
QCT APQ8064 AWIFI,QCT APQ8064 AWIFI,Unknown,382,4,,unknown,Mobile/Embedded
"Qualcomm Technologies, Inc MSM8916","Qualcomm Technologies, Inc MSM8916",Unknown,382,4,,unknown,Mobile/Embedded
AMD Athlon X2 Dual Core L310,Athlon X2 Dual Core L310,Intel,379,2,13.0,S1,Laptop
AMD V140,V140,AMD,379,1,25.0,S1,Laptop
AMD Athlon 64 3400+,Athlon 64 3400+,AMD,375,1,89.0,754,Unknown
Intel Xeon 3.40GHz,Xeon 3.40GHz,Intel,375,1,103.0,PPGA604,Server
AMD Athlon 64 3300+,Athlon 64 3300+,AMD,375,1,,unknown,Unknown
Intel Pentium D 805,Pentium D 805,Intel,374,2,95.0,PLGA775,Desktop
ARM Cortex-A53 4 Core 0 MHz,ARM Cortex A53 4 Core 0 MHz,Intel,374,4,,unknown,Unknown
AMD E1-1200 APU,E1 1200 APU,AMD,372,2,18.0,FT1,Laptop
Intel Celeron D 360,Celeron D 360,Intel,372,1,65.0,PLGA775,Desktop
Intel Atom 330,Atom 330,Intel,371,2,8.0,BGA437,Desktop
Intel Celeron 827E,Celeron 827E,Intel,371,1,17.0,FCBGA1023,Laptop
Intel Celeron 440,Celeron 440,Intel,368,1,35.0,LGA775,Desktop
Intel Celeron 560,Celeron 560,Intel,365,1,31.0,PGA478,Laptop
"Qualcomm Technologies, Inc APQ8017","Qualcomm Technologies, Inc APQ8017",Unknown,365,4,,unknown,Mobile/Embedded
AMD Sempron 3600+,Sempron 3600+,AMD,364,1,62.0,AM2,Desktop
AMD V120,V120,AMD,362,1,25.0,S1,Laptop
AMD Turion 64 Mobile MK-38,Turion 64 Mobile MK 38,AMD,362,1,31.0,S1,Laptop
AMD Sempron 3800+,Sempron 3800+,AMD,360,1,62.0,AM2,Desktop
MediaTek MT6739WA,MediaTek MT6739WA,Unknown,360,4,,unknown,Mobile/Embedded
AMD E-300 APU,E 300 APU,AMD,359,2,18.0,FT1,Laptop
AMD Athlon II 160u,Athlon II 160u,AMD,358,1,20.0,unknown,Desktop
AMD Athlon II 170u,Athlon II 170u,AMD,357,1,20.0,"AM2+,AM3",Desktop
AMD Athlon X2 Dual Core 3250e,Athlon X2 Dual Core 3250e,Intel,357,2,22.0,unknown,Unknown
Mobile AMD Athlon 64 3700+,Mobile AMD Athlon 64 3700+,AMD,356,1,81.5,unknown,Laptop
Manta,Manta,Unknown,356,2,,unknown,Mobile/Embedded
"Qualcomm Technologies, Inc QCM2150","Qualcomm Technologies, Inc QCM2150",Unknown,356,4,,unknown,Mobile/Embedded
